month,blockchain,total_volume
2024-01-01 00:00:00.000 UTC,ethereum,44507613773.38823
2024-01-01 00:00:00.000 UTC,arbitrum,17373692396.1674
2024-01-01 00:00:00.000 UTC,bnb,16028312703.05087
2024-01-01 00:00:00.000 UTC,polygon,4559716926.649463
2024-01-01 00:00:00.000 UTC,avalanche_c,2509242796.415675
2024-01-01 00:00:00.000 UTC,optimism,2408746644.2889624
2024-01-01 00:00:00.000 UTC,base,686680606.3839996
2024-01-01 00:00:00.000 UTC,zksync,258800376.9990039
2024-01-01 00:00:00.000 UTC,fantom,110657021.75770088
2024-01-01 00:00:00.000 UTC,gnosis,63860316.12433774
2024-01-01 00:00:00.000 UTC,celo,46678266.42844949
