month,project,total_volume
2024-02-01 00:00:00.000 UTC,uniswap,49504572173.44261
2024-02-01 00:00:00.000 UTC,pancakeswap,15315860166.582443
2024-02-01 00:00:00.000 UTC,curve,4632515130.044577
2024-02-01 00:00:00.000 UTC,trader_joe,3099843995.897209
2024-02-01 00:00:00.000 UTC,quickswap,2420622281.450098
2024-02-01 00:00:00.000 UTC,balancer,2390404568.56049
2024-02-01 00:00:00.000 UTC,camelot,2042429333.283584
2024-02-01 00:00:00.000 UTC,thena,1763873939.1759508
2024-02-01 00:00:00.000 UTC,dodo,1597526470.1517458
2024-02-01 00:00:00.000 UTC,0x API,793020180.7959055
2024-02-01 00:00:00.000 UTC,1inch LOP,641808570.2103322
2024-02-01 00:00:00.000 UTC,sushiswap,595338460.4339945
2024-02-01 00:00:00.000 UTC,maverick,574649051.3633919
2024-02-01 00:00:00.000 UTC,woofi,314043936.0702486
2024-02-01 00:00:00.000 UTC,aerodrome,222870815.9164188
2024-02-01 00:00:00.000 UTC,integral,180047862.3614302
2024-02-01 00:00:00.000 UTC,velodrome,157503220.14663517
2024-02-01 00:00:00.000 UTC,biswap,105018685.11794756
2024-02-01 00:00:00.000 UTC,fraxswap,81437731.90430614
2024-02-01 00:00:00.000 UTC,wombat,71887398.53950545
2024-02-01 00:00:00.000 UTC,apeswap,55907184.70612035
2024-02-01 00:00:00.000 UTC,spookyswap,41663292.334052026
2024-02-01 00:00:00.000 UTC,bancor,37706209.892084375
2024-02-01 00:00:00.000 UTC,shibaswap,35672948.213394664
2024-02-01 00:00:00.000 UTC,gmx,34588975.253657505
2024-02-01 00:00:00.000 UTC,clipper,30873427.866023388
2024-02-01 00:00:00.000 UTC,airswap,25604227.31431088
2024-02-01 00:00:00.000 UTC,mdex,18713070.499132115
2024-02-01 00:00:00.000 UTC,babyswap,15598309.198363042
2024-02-01 00:00:00.000 UTC,wigoswap,10856440.011642205
2024-02-01 00:00:00.000 UTC,kyberswap,10439696.43983326
2024-02-01 00:00:00.000 UTC,beethoven_x,8170341.630670356
2024-02-01 00:00:00.000 UTC,honeyswap,8092533.671913708
2024-02-01 00:00:00.000 UTC,synthetix,7268829.890843094
2024-02-01 00:00:00.000 UTC,equalizer,5471075.759458371
2024-02-01 00:00:00.000 UTC,openocean,4243083.654153427
2024-02-01 00:00:00.000 UTC,spiritswap,3099512.667052586
2024-02-01 00:00:00.000 UTC,verse_dex,2991644.3896347727
2024-02-01 00:00:00.000 UTC,ubeswap,2587172.68825736
2024-02-01 00:00:00.000 UTC,defiswap,2515223.4654726307
2024-02-01 00:00:00.000 UTC,mstable,1795550.5337434085
2024-02-01 00:00:00.000 UTC,ellipsis_finance,1701993.7324701224
2024-02-01 00:00:00.000 UTC,mauve,1393758.9806260343
2024-02-01 00:00:00.000 UTC,arbswap,1351939.6274854704
2024-02-01 00:00:00.000 UTC,mummy_finance,967365.529904864
2024-02-01 00:00:00.000 UTC,xchange,436183.6626842625
2024-02-01 00:00:00.000 UTC,carbon_defi,414336.4685208489
2024-02-01 00:00:00.000 UTC,opx_finance,376051.10836477496
2024-02-01 00:00:00.000 UTC,wardenswap,150404.83302158705
2024-02-01 00:00:00.000 UTC,iziswap,71177.60392920874
2024-02-01 00:00:00.000 UTC,nomiswap,60776.96192282161
2024-02-01 00:00:00.000 UTC,zipswap,57782.85847760544
2024-02-01 00:00:00.000 UTC,glacier,32539.343509321265
2024-02-01 00:00:00.000 UTC,openxswap,16332.700832587752
2024-02-01 00:00:00.000 UTC,dfx,15535.641209452668
2024-02-01 00:00:00.000 UTC,rubicon,2635.5941164136475
2024-02-01 00:00:00.000 UTC,spartacus_exchange,809.9704448028996
2024-02-01 00:00:00.000 UTC,swapr,671.8137952335555
