month,coin_name,month_change
2024-01-01,btc-bitcoin,-3.61
2024-01-01,eth-ethereum,-2.99
2024-01-01,usdt-tether,-0.13
2024-01-01,bnb-binance-coin,-4.35
2024-01-01,sol-solana,-11.51
2024-01-01,steth-lido-staked-ether,-3.01
2024-01-01,xrp-xrp,-20.2
2024-01-01,usdc-usd-coin,-0.09
2024-01-01,ada-cardano,-20.07
2024-01-01,avax-avalanche,-20.83
2024-01-01,trx-tron,4.04
2024-01-01,doge-dogecoin,-14.51
2024-01-01,weth-weth,-2.85
2024-01-01,link-chainlink,-0.98
2024-01-01,dot-polkadot,-22.63
2024-01-01,matic-polygon,-22.59
2024-01-01,wbtc-wrapped-bitcoin,-3.75
2024-01-01,uni-uniswap,-21.12
2024-01-01,icp-internet-computer,-11.44
2024-01-01,shib-shiba-inu,-16.32
2024-01-01,ltc-litecoin,-10.65
2024-01-01,bch-bitcoin-cash,-12.27
2024-01-01,dai-dai,-0.13
2024-01-01,imx-immutable-x,-14.99
2024-01-01,fil-filecoin,-34.59
2024-01-01,atom-cosmos,-18.77
2024-01-01,etc-ethereum-classic,8.24
2024-01-01,near-near-protocol,-25.75
2024-01-01,leo-leo-token,-0.5
2024-01-01,btcb-binance-bitcoin,-3.56
2024-01-01,kas-kaspa,-15.33
2024-01-01,tao-bittensor,69.69
2024-01-01,stx-stacks,-5.99
2024-01-01,op-optimism,-27.34
2024-01-01,hbar-hedera-hashgraph,-24.04
2024-01-01,apt-aptos,-11.17
2024-01-01,vet-vechain,-22.74
2024-01-01,inj-injective-protocol,-14.71
2024-01-01,fdusd-first-digital-usd,-0.1
2024-01-01,xlm-stellar,-16.75
2024-01-01,toncoin-the-open-network,-12.09
2024-01-01,okb-okb,-12.07
2024-01-01,ldo-lido-dao,-3.03
2024-01-01,mnt-mantle,-9.05
2024-01-01,grt-the-graph,-28.88
2024-01-01,rndr-render-token,-8.95
2024-01-01,tia-celestia,15.75
2024-01-01,xmr-monero,-3.17
2024-01-01,cro-cryptocom-chain,-18.88
2024-01-01,arb-arbitrum,1.63
2024-01-01,mkr-maker,18.47
2024-01-01,reth-rocket-pool-eth,-2.79
2024-01-01,sui-sui,79.78
2024-01-01,pls-pulsechain,100.44
2024-01-01,rune-thorchain,-13.22
2024-01-01,beam-beam-eth,-4.58
2024-01-01,algo-algorand,-33.26
2024-01-01,flr-flare-network,26.81
2024-01-01,egld-elrond,-25.48
2024-01-01,aave-new,-26.1
2024-01-01,bsv-bitcoin-sv,-33.89
2024-01-01,sei-sei,-8.43
2024-01-01,theta-theta-token,-27.3
2024-01-01,strk-starknet,
2024-01-01,bgb-bitget-token,-0.07
2024-01-01,hex-hex-from-pulsechain,75.31
2024-01-01,mina-mina-protocol,-26.11
2024-01-01,hnt-helium,8.37
2024-01-01,ordi-ordinals,-23.36
2024-01-01,qnt-quant,-27.2
2024-01-01,tusd-trueusd,-1.01
2024-01-01,wld-worldcoin,-36.56
2024-01-01,snx-synthetix-network-token,-25.21
2024-01-01,chz-chiliz,11.41
2024-01-01,ape-apecoin,-18.11
2024-01-01,sand-the-sandbox,-27.61
2024-01-01,ftm-fantom,-30.21
2024-01-01,axs-axie-infinity,-24.79
2024-01-01,xtz-tezos,-12.44
2024-01-01,plsx-pulsex,193.2
2024-01-01,blur-blur,23.56
2024-01-01,flow-flow,-25.29
2024-01-01,wbt-whitebit,10.64
2024-01-01,kcs-kucoin-token,-9.27
2024-01-01,bttc-bittorrent-chain,-31.46
2024-01-01,ar-arweave,-17.18
2024-01-01,cheelee-cheelee,-0.13
2024-01-01,mana-decentraland,-20.02
2024-01-01,wpls-wrapped-pulse,101.23
2024-01-01,agix-singularitynet,-21.09
2024-01-01,gala-gala,-32.41
2024-01-01,woo-wootrade,-21.34
2024-01-01,cfx-conflux-network,12.54
2024-01-01,dym-dymension-iou,
2024-01-01,akt-akash-network,15.86
2024-01-01,ron-ronin-token,47.24
2024-01-01,fetch-ai,-22.67
2024-01-01,astr-astar,25.7
2024-01-01,neo-neo,-24.01
2024-01-01,gno-gnosis,5.94
2024-01-01,luna-terra,-34.21
2024-01-01,kava-kava,-22.81
2024-01-01,ico-axelar,-23.9
2024-01-01,pyth-pyth-network,12.35
2024-01-01,rose-oasis-network,-28.2
2024-01-01,klay-klaytn,-19.95
2024-01-01,eos-eos,-22.15
2024-01-01,osmo-osmosis,2.45
2024-01-01,hex-hex,65.03
2024-01-01,miota-iota,-23.9
2024-01-01,cake-pancakeswap,-29.09
2024-01-01,jasmy-jasmycoin,-28.97
2024-01-01,manta-manta-network,-10.32
2024-01-01,usdd-usdd,0.43
2024-01-01,wbnb-wrapped-bnb,-4.44
2024-01-01,bonk-bonk,-28.86
2024-01-01,fxs-frax-share,7.01
2024-01-01,msol-marinade-staked-sol,-10.96
2024-01-01,ens-ethereum-name-service,74.88
2024-01-01,ckb-nervos-network,13.38
2024-01-01,jup-jupiter-exchange-token,
2024-01-01,crv-curve-dao-token,-27.8
2024-01-01,xec-ecash,-22.6
2024-01-01,frax-frax,-0.31
2024-01-01,nexo-nexo,-0.34
2024-01-01,pendle-pendle,103.81
2024-01-01,cbeth-coinbase-wrapped-staked-eth,-2.96
2024-01-01,rpl-rocket-pool,-7.75
2024-01-01,pepe-pepe,-34.78
2024-01-01,ftt-ftx-token,-27.28
2024-01-01,iotx-iotex,-21.6
2024-01-01,sc-siacoin,20.28
2024-01-01,1inch-1inch,-19.97
2024-01-01,metis-metis-token,-13.38
2024-01-01,core-core-dao,-18.19
2024-01-01,twt-trust-wallet-token,-14.86
2024-01-01,alt-altlayer,10.11
2024-01-01,rlb-rollbit-coin,-4.04
2024-01-01,ftn-fasttoken,8.44
2024-01-01,super-superfarm,-14.4
2024-01-01,xaut-tether-gold,-1.31
2024-01-01,enj-enjin-coin,-27.74
2024-01-01,xdc-xdc-network,-25.61
2024-01-01,rbn-ribbon-finance,34.43
2024-01-01,kuji-kujira,-26.87
2024-01-01,gmx-gmx,-26.04
2024-01-01,celo-celo,-17.5
2024-01-01,radix-dlt,-6.59
2024-01-01,stsol-lido-staked-sol,-10.12
2024-01-01,gmt-stepn,-29.12
2024-01-01,gt-gatechain-token,-8.32
2024-01-01,btg-bitcoin-gold,0.75
2024-01-01,zec-zcash,-22.1
2024-01-01,elf-aelf,-5.18
2024-01-01,lpt-livepeer,-15.38
2024-01-01,luna-terra-v2,-29.95
2024-01-01,cvx-convex-finance,-14.37
2024-01-01,cspr-casper-network,-33.2
2024-01-01,nft-apenft,-10.76
2024-01-01,lend-ethlend,-21.12
2024-01-01,lyra-lyra,-44.52
2024-01-01,trb-tellor,-36.87
2024-01-01,ctcn-contracoin,22.71
2024-01-01,lace-lovelace-world,-13.99
2024-01-01,lrc-loopring,-26.03
2024-01-01,kda-kadena,-31.66
2024-01-01,idex-idex,-23.26
2024-01-01,ksm-kusama,-26.19
2024-01-01,b8t-b8dex,-16.56
2024-01-01,jst-just,-10.9
2024-01-01,shield-shield-protocol,
2024-01-01,png-pangolin,-31.85
2024-01-01,zik-ziktalk,-26.76
2024-01-01,stg-stargatetoken,-16.38
2024-01-01,cone-bitcone,-34.49
2024-01-01,hgold-hollygold,-25.97
2024-01-01,cyc-cyclone-protocol,-15.4
2024-01-01,reef-reef,-38.57
2024-01-01,ankr-ankr-network,-21.05
2024-01-01,api3-api3,34.89
2024-01-01,bake-bakeryswap,-40.9
2024-01-01,sb-snowbank,-2.77
2024-01-01,perp-perpetual-protocol,-21.34
2024-01-01,hook-hooked-protocol,-31.48
2024-01-01,rlc-iexec-rlc,35.44
2024-01-01,hft1-hashflow,-20.31
2024-01-01,zrx-0x,-15.42
2024-01-01,rvn-ravencoin,-19.76
2024-01-01,ocean-ocean-protocol,-20.59
2024-01-01,xch-chia-,-25.43
2024-01-01,win-winklink,-7.2
2024-01-01,santos-santos-fc-fan-token,38.21
2024-01-01,ifc-infinitecoin,-35.97
2024-01-01,rsr-reserve-rights,-33.96
2024-01-01,foc-theforce-trade,-12.67
2024-01-01,floki-floki-inu,-24.82
2024-01-01,satt-satt,-23.44
2024-01-01,chr-chromia,16.21
2024-01-01,cyber-cyberconnect,-4.28
2024-01-01,gltr-gax-liquidity-token-reward,-35.99
