timestamp,asks,bids,combined_orders
1701626400000,1256210036,1330044272,2586254308
1701648000000,1193584387,1334877420,2528461807
1701669600000,1208066085,1315049790,2523115875
1701691200000,1197417989,1282370390,2479788379
1701712800000,1192784344,1232452881,2425237226
1701734400000,1202301458,1250479228,2452780686
1701756000000,1210496677,1305149222,2515645900
1701777600000,1158446031,1274313622,2432759653
1701799200000,1175664263,1153853300,2329517563
1701820800000,1215229484,1167466103,2382695588
1701842400000,1191456571,1147280232,2338736803
1701864000000,1282646191,1247546006,2530192198
1701885600000,1455290682,1361354664,2816645347
1701907200000,1467889780,1402963670,2870853451
1701928800000,1744425868,1470013112,3214438981
1701950400000,7006239245,3738105011,10744344256
1701972000000,1814570146,3719521508,5534091655
1701993600000,1706541145,2386176521,4092717666
1702015200000,1653494799,2362036822,4015531622
1702036800000,1775429688,2345769891,4121199580
1702058400000,2004318120,2393997987,4398316108
1702080000000,1780227221,2382031918,4162259139
1702101600000,1884481144,2358341077,4242822222
1702123200000,1889029178,2448856296,4337885474
1702144800000,1894687337,2447286239,4341973577
1702166400000,1841697451,2338232434,4179929886
1702188000000,1869394095,2226426806,4095820902
1702209600000,1949421645,2266827014,4216248660
1702231200000,1984576163,2513871665,4498447829
1702252800000,1764614135,2104974910,3869589045
1702274400000,1762749538,1950572581,3713322119
1702296000000,1590265565,1894509812,3484775377
1702317600000,1434955946,1794881592,3229837538
1702339200000,1542816975,2356880384,3899697360
1702360800000,1548257421,2366042063,3914299484
1702382400000,1457464940,2315869706,3773334647
1702404000000,1507841071,2243864228,3751705299
1702425600000,1378424766,2267816272,3646241039
1702447200000,1404546904,2308742918,3713289823
1702468800000,1489870841,2329249144,3819119986
1702490400000,1575715506,2394913831,3970629338
1702512000000,1635573700,2415617379,4051191080
1702533600000,1641593372,2482427062,4124020434
1702555200000,1454134220,2384878344,3839012565
1702576800000,1506331354,2184052670,3690384024
1702598400000,1559904527,2115646624,3675551151
1702620000000,1543659126,2244095614,3787754740
1702641600000,3165451305,2025933059,5191384364
1702663200000,3204319094,2075505759,5279824853
1702684800000,3298635423,2085257470,5383892893
1702706400000,3352184581,2159502018,5511686599
1702728000000,8274333997,2106876509,10381210506
1702749600000,6638153563,2141404478,8779558042
1702771200000,15698474175,2085092941,17783567116
1702792800000,10684604419,2063026174,12747630594
1702814400000,2567362070,1901054297,4468416367
1702836000000,1618475217,2293661383,3912136601
1702857600000,1635000091,2455691535,4090691626
1702879200000,1650377096,2519903290,4170280386
1702900800000,1688579134,2496278067,4184857202
1702922400000,1671174267,2531419757,4202594024
1702944000000,1648139680,2582080329,4230220009
1702965600000,1687533522,2593511062,4281044585
1702987200000,1628803728,2635338393,4264142121
1703008800000,1599417750,2649648202,4249065953
1703030400000,1637459940,2645275473,4282735413
1703052000000,1634340326,2598782920,4233123246
1703073600000,1646786568,2621466476,4268253044
1703095200000,3053221136,2591085666,5644306802
1703116800000,6159718813,2661782142,8821500956
1703138400000,6176331519,2678206944,8854538464
1703160000000,3582411219,2526750903,6109162122
1703181600000,2128000216,2205679067,4333679284
1703203200000,2096810788,2295502477,4392313265
1703224800000,2007849433,2325447734,4333297167
1703246400000,2243183135,2085403453,4328586588
1703268000000,2121770474,1812691694,3934462169
1703289600000,2116167109,1835942069,3952109179
1703311200000,2176112790,1922528163,4098640953
1703332800000,2266234480,1934472548,4200707028
1703354400000,2294042351,1962617432,4256659783
1703376000000,2245767925,2031609906,4277377832
1703397600000,2113580357,2155066284,4268646641
1703419200000,2289350775,2228352364,4517703140
1703440800000,3679573415,2169998725,5849572141
1703462400000,2234371228,2176905056,4411276285
1703484000000,1969768762,2198726269,4168495031
1703505600000,1998382308,2242368039,4240750347
1703527200000,2046583054,2230108787,4276691842
1703548800000,1997870377,2197711053,4195581431
1703570400000,1879505021,2180798622,4060303643
1703592000000,1872286582,2106891410,3979177993
1703613600000,1750770622,2087712784,3838483406
1703635200000,1727307129,2120399267,3847706397
1703656800000,1695415272,2211751145,3907166417
