time,asks,bids,combined_orders
2023-12-01 00:00:00,1420518995,1431148100,2851667096
2023-12-01 06:00:00,1417112287,1445808963,2862921250
2023-12-01 12:00:00,1369012368,1447900889,2816913257
2023-12-01 18:00:00,1308583965,1400872449,2709456415
2023-12-02 00:00:00,1329816029,1408142672,2737958701
2023-12-02 06:00:00,1334309810,1437103090,2771412901
2023-12-02 12:00:00,1340194920,1454760734,2794955655
2023-12-02 18:00:00,1229137257,1320796896,2549934153
2023-12-03 00:00:00,1243944441,1334954336,2578898777
2023-12-03 06:00:00,1268725121,1342494231,2611219352
2023-12-03 12:00:00,1259962902,1342142458,2602105361
2023-12-03 18:00:00,1256210036,1330044272,2586254308
2023-12-04 00:00:00,1193584387,1334877420,2528461807
2023-12-04 06:00:00,1208066085,1315049790,2523115875
2023-12-04 12:00:00,1197417989,1282370390,2479788379
2023-12-04 18:00:00,1192784344,1232452881,2425237226
2023-12-05 00:00:00,1202301458,1250479228,2452780686
2023-12-05 06:00:00,1210496677,1305149222,2515645900
2023-12-05 12:00:00,1158446031,1274313622,2432759653
2023-12-05 18:00:00,1175664263,1153853300,2329517563
2023-12-06 00:00:00,1215229484,1167466103,2382695588
2023-12-06 06:00:00,1191456571,1147280232,2338736803
2023-12-06 12:00:00,1282646191,1247546006,2530192198
2023-12-06 18:00:00,1455290682,1361354664,2816645347
2023-12-07 00:00:00,1467889780,1402963670,2870853451
2023-12-07 06:00:00,1744425868,1470013112,3214438981
2023-12-07 12:00:00,7006239245,3738105011,10744344256
2023-12-07 18:00:00,1814570146,3719521508,5534091655
2023-12-08 00:00:00,1706541145,2386176521,4092717666
2023-12-08 06:00:00,1653494799,2362036822,4015531622
2023-12-08 12:00:00,1775429688,2345769891,4121199580
2023-12-08 18:00:00,2004318120,2393997987,4398316108
2023-12-09 00:00:00,1780227221,2382031918,4162259139
2023-12-09 06:00:00,1884481144,2358341077,4242822222
2023-12-09 12:00:00,1889029178,2448856296,4337885474
2023-12-09 18:00:00,1894687337,2447286239,4341973577
2023-12-10 00:00:00,1841697451,2338232434,4179929886
2023-12-10 06:00:00,1869394095,2226426806,4095820902
2023-12-10 12:00:00,1949421645,2266827014,4216248660
2023-12-10 18:00:00,1984576163,2513871665,4498447829
2023-12-11 00:00:00,1764614135,2104974910,3869589045
2023-12-11 06:00:00,1762749538,1950572581,3713322119
2023-12-11 12:00:00,1590265565,1894509812,3484775377
2023-12-11 18:00:00,1434955946,1794881592,3229837538
2023-12-12 00:00:00,1542816975,2356880384,3899697360
2023-12-12 06:00:00,1548257421,2366042063,3914299484
2023-12-12 12:00:00,1457464940,2315869706,3773334647
2023-12-12 18:00:00,1507841071,2243864228,3751705299
2023-12-13 00:00:00,1378424766,2267816272,3646241039
2023-12-13 06:00:00,1404546904,2308742918,3713289823
2023-12-13 12:00:00,1489870841,2329249144,3819119986
2023-12-13 18:00:00,1575715506,2394913831,3970629338
2023-12-14 00:00:00,1635573700,2415617379,4051191080
2023-12-14 06:00:00,1641593372,2482427062,4124020434
2023-12-14 12:00:00,1454134220,2384878344,3839012565
