url_name,vol_30_day_usd,name
binance,501240984410,Binance
coinbase,76809940028,Coinbase
bitforex,36718587503,Bitforex
kraken,29721581871,Kraken
okx,71266771531,Okx
kucoin,34773453291,Kucoin
gateio,42741918568,Gateio
htx,43494561863,Htx
bitfinex,9019169435,Bitfinex
bitstamp,6994046564,Bitstamp
p2b,45707449845,P2B
digifinex,39580856155,Digifinex
bitmart,34877923516,Bitmart
whitebit,30761192509,Whitebit
bitget,39483393037,Bitget
bitrue,76027634768,Bitrue
lbank,39273469697,Lbank
deepcoin,27796630128,Deepcoin
toobit,24203981686,Toobit
xt,22342173079,Xt
