month,coin_name,month_change,symbol,new_coin_name
2023-12-01,btc-bitcoin,9.39,BTC,Bitcoin
2023-12-01,eth-ethereum,9.44,ETH,Ethereum
2023-12-01,usdt-tether,0.07,USDT,Tether
2023-12-01,bnb-binance-coin,36.73,BNB,Binance Coin
2023-12-01,sol-solana,70.02,SOL,Solana
2023-12-01,xrp-xrp,0.47,XRP,Xrp
2023-12-01,usdc-usd-coin,0.17,USDC,Usd Coin
2023-12-01,ada-cardano,54.86,ADA,Cardano
2023-12-01,avax-avalanche,76.52,AVAX,Avalanche
2023-12-01,doge-dogecoin,6.93,DOGE,Dogecoin
2023-12-01,trx-tron,4.5,TRX,Tron
2023-12-01,dot-polkadot,49.89,DOT,Polkadot
2023-12-01,link-chainlink,-0.11,LINK,Chainlink
2023-12-01,matic-polygon,21.47,MATIC,Polygon
2023-12-01,shib-shiba-inu,24.01,SHIB,Shiba Inu
2023-12-01,icp-internet-computer,184.06,ICP,Internet Computer
2023-12-01,ltc-litecoin,1.96,LTC,Litecoin
2023-12-01,dai-dai,0.23,DAI,Dai
2023-12-01,bch-bitcoin-cash,15.16,BCH,Bitcoin Cash
2023-12-01,leo-leo-token,-0.13,LEO,Leo Token
2023-12-01,uni-uniswap,20.32,UNI,Uniswap
2023-12-01,etc-ethereum-classic,15.72,ETC,Ethereum Classic
2023-12-01,atom-cosmos,12.14,ATOM,Cosmos
2023-12-01,xlm-stellar,7.76,XLM,Stellar
2023-12-01,toncoin-the-open-network,-3.92,TONCOIN,The Open Network
2023-12-01,okb-okb,-4.82,OKB,Okb
2023-12-01,xmr-monero,-3.91,XMR,Monero
2023-12-01,apt-aptos,33.64,APT,Aptos
2023-12-01,inj-injective-protocol,99.25,INJ,Injective Protocol
2023-12-01,near-near-protocol,93.12,NEAR,Near Protocol
2023-12-01,tao-bittensor,-10.51,TAO,Bittensor
2023-12-01,op-optimism,124.48,OP,Optimism
2023-12-01,imx-immutable-x,47.87,IMX,Immutable X
2023-12-01,tia-celestia,67.56,TIA,Celestia
2023-12-01,fdusd-first-digital-usd,-0.06,FDUSD,First Digital Usd
2023-12-01,ldo-lido-dao,10.9,LDO,Lido Dao
2023-12-01,fil-filecoin,54.07,FIL,Filecoin
2023-12-01,hbar-hedera-hashgraph,41.5,HBAR,Hedera Hashgraph
2023-12-01,kas-kaspa,-18.78,KAS,Kaspa
2023-12-01,arb-arbitrum,50.75,ARB,Arbitrum
2023-12-01,stx-stacks,96.97,STX,Stacks
2023-12-01,cro-cryptocom-chain,8.08,CRO,Cryptocom Chain
2023-12-01,vet-vechain,52.38,VET,Vechain
2023-12-01,mnt-mantle,17.88,MNT,Mantle
2023-12-01,mkr-maker,9.83,MKR,Maker
2023-12-01,pls-pulsechain,-4.52,PLS,Pulsechain
2023-12-01,sui-sui,26.64,SUI,Sui
2023-12-01,rndr-render-token,26.03,RNDR,Render Token
2023-12-01,rune-thorchain,-20.04,RUNE,Thorchain
2023-12-01,tusd-trueusd,-0.15,TUSD,Trueusd
2023-12-01,hex-hex-from-pulsechain,-19.55,HEX,Hex From Pulsechain
2023-12-01,grt-the-graph,23.3,GRT,The Graph
2023-12-01,egld-elrond,50.25,EGLD,Elrond
2023-12-01,bsv-bitcoin-sv,103.12,BSV,Bitcoin Sv
2023-12-01,algo-algorand,60.09,ALGO,Algorand
2023-12-01,aave-new,8.8,AAVE,New
2023-12-01,ordi-ordinals,259.84,ORDI,Ordinals
2023-12-01,qnt-quant,37.68,QNT,Quant
2023-12-01,hnt-helium,132.51,HNT,Helium
2023-12-01,mina-mina-protocol,80.53,MINA,Mina Protocol
2023-12-01,sei-sei,126.07,SEI,Sei
2023-12-01,plsx-pulsex,-9.84,PLSX,Pulsex
2023-12-01,ftm-fantom,50.46,FTM,Fantom
2023-12-01,sand-the-sandbox,43.92,SAND,The Sandbox
2023-12-01,astr-astar,99.39,ASTR,Astar
2023-12-01,theta-theta-token,25.69,THETA,Theta Token
2023-12-01,axs-axie-infinity,36.47,AXS,Axie Infinity
2023-12-01,xtz-tezos,19.73,XTZ,Tezos
2023-12-01,snx-synthetix-network-token,13.06,SNX,Synthetix Network Token
2023-12-01,wbt-whitebit,6.14,WBT,Whitebit
2023-12-01,kcs-kucoin-token,30.22,KCS,Kucoin Token
2023-12-01,chz-chiliz,16.48,CHZ,Chiliz
