url_name,vol_30_day_usd,name
uniswap-v3,24292088093,Uniswap V3
uniswap-v2,4014383807,Uniswap V2
curve-finance,3058278897,Curve Finance
pancakeswap-v3-bsc,4329317934,Pancakeswap V3 Bsc
pancakeswap-v2,1648591839,Pancakeswap V2
uniswap-arbitrum,5518310350,Uniswap Arbitrum
uniswap-polygon-network,2162135075,Uniswap Polygon Network
uniswap-optimism,822011063,Uniswap Optimism
pancakeswap-v3-ethereum,694039017,Pancakeswap V3 Ethereum
trader-joe,130286426,Trader Joe
trader-joe-v2-arbitrum,1143525,Trader Joe V2 Arbitrum
camelot-v3,1599043335,Camelot V3
camelot,28995328,Camelot
balancer-v2,1233246257,Balancer V2
balancer,46848369,Balancer
