open,close,volume,market_cap,date,fee
42599.02,43081.26,18798882226,845055057960,2024-02-01,13829.0
43085.95,43186.77,15878958707,847175471179,2024-02-02,15300.0
43195.94,43032.79,7643423342,844195796122,2024-02-03,34361.0
43040.94,42650.31,9622571982,836733243770,2024-02-04,29276.0
42649.67,42700.71,16184276018,837763440105,2024-02-05,23030.0
42701.06,43100.83,14660004113,845658992416,2024-02-06,19095.0
43100.89,44322.09,19304889077,869665696517,2024-02-07,17092.0
44325.29,45319.64,23347310461,889278626872,2024-02-08,18585.0
45315.13,47140.67,35407986436,925059982768,2024-02-09,16378.0
47141.01,47782.56,14383367947,937701352253,2024-02-10,10317.0
47781.3,48274.87,17390799906,947404607174,2024-02-11,8690.0
48290.34,49985.55,31731537488,981031978715,2024-02-12,16387.0
49951.38,49734.17,29378645382,976139325322,2024-02-13,15145.0
49738.66,51811.08,31759236331,1016949387477,2024-02-14,18259.0
51812.8,51926.48,31718617749,1019265580927,2024-02-15,12710.0
51932.82,52173.7,23196610022,1024161973078,2024-02-16,10493.0
52169.71,51693.53,16065094656,1014783817195,2024-02-17,8828.0
51693.03,52124.8,14086352149,1023290384137,2024-02-18,7196.0
52127.89,51812.8,19165025657,1017209585421,2024-02-19,7962.0
51821.17,52330.91,31334773164,1027426748906,2024-02-20,8009.0
52319.52,51877.32,25701926958,1018566099962,2024-02-21,8523.0
51879.26,51348.2,23129343058,1008221695435,2024-02-22,7736.0
51331.97,50813.58,18538096285,997772615208,2024-02-23,7533.0
50803.88,51643.1,10942045573,1014106818927,2024-02-24,7626.0
51642.43,51777.58,12974638046,1016800890925,2024-02-25,5806.0
51774.01,54525.42,31426408593,1070807641871,2024-02-26,9021.0
54526.19,57090.29,33415682917,1121224693687,2024-02-27,12427.0
57088.8,62500.32,74743643946,1227531742602,2024-02-28,14487.0
62491.89,61318.73,57398651204,1204376921199,2024-02-29,18489.0
