url_name,vol_30_day_usd,name
uniswap-v3,40545478983,Uniswap V3
uniswap-v2,8856727672,Uniswap V2
curve-finance,5644416900,Curve Finance
pancakeswap-v3-bsc,6980471320,Pancakeswap V3 Bsc
pancakeswap-v2,3435876409,Pancakeswap V2
uniswap-arbitrum,11612863619,Uniswap Arbitrum
uniswap-polygon-network,3834410188,Uniswap Polygon Network
uniswap-optimism,1779118832,Uniswap Optimism
pancakeswap-v3-ethereum,1336982660,Pancakeswap V3 Ethereum
trader-joe,578123912,Trader Joe
trader-joe-v2-arbitrum,2102014,Trader Joe V2 Arbitrum
camelot-v3,2673282672,Camelot V3
camelot,39744909,Camelot
balancer-v2,1774137988,Balancer V2
balancer,29549229,Balancer
