open,close,volume,market_cap,date,fee
2283.99,2304.71,8138368299,276986012751,2024-02-01,3002041.0
2304.74,2308.92,6532977885,277490800002,2024-02-02,2384828.0
2309.45,2298.9,4177383908,276286002094,2024-02-03,2302695.0
2299.02,2293.22,4815944683,275604908938,2024-02-04,1901170.0
2293.07,2301.32,6595029440,276579904635,2024-02-05,2152005.0
2301.48,2373.42,8943742678,285245758853,2024-02-06,3757959.0
2373.47,2424.97,9185566906,291438741071,2024-02-07,4070749.0
2424.64,2421.67,9325796416,291036967240,2024-02-08,6228029.0
2421.44,2487.74,13188405907,298968997559,2024-02-09,7156411.0
2487.64,2502.64,6025171979,300746905783,2024-02-10,4128138.0
2502.42,2507.4,6935699986,301316160552,2024-02-11,3202594.0
2508.03,2659.93,12821033231,319644143939,2024-02-12,4828604.0
2659.0,2642.41,14479181381,317534022586,2024-02-13,3379665.0
2642.83,2777.33,13691470948,333744484147,2024-02-14,2871041.0
2777.4,2824.34,15694863499,339392356231,2024-02-15,3663090.0
2825.52,2805.02,12304825745,337066495122,2024-02-16,2821795.0
2804.65,2788.42,8321877044,335070627786,2024-02-17,2260117.0
2788.35,2878.61,10051371558,345909096470,2024-02-18,2508500.0
2880.08,2945.41,14437547168,353937279961,2024-02-19,3523369.0
2946.81,3015.66,19665897823,362375690372,2024-02-20,3895378.0
3018.0,2972.35,18515026302,357166440586,2024-02-21,4273178.0
2972.05,2972.57,17626202788,357187137426,2024-02-22,5126538.0
2973.13,2927.18,12488470299,351725862795,2024-02-23,4179704.0
2926.48,2996.22,7614644755,360014935255,2024-02-24,3036156.0
2996.47,3114.98,12949268042,374283066668,2024-02-25,3117396.0
3114.9,3179.21,17526099381,381999920003,2024-02-26,4013753.0
3178.74,3245.92,20709831070,390009209175,2024-02-27,4627779.0
3246.06,3384.48,30878793844,406648138093,2024-02-28,5776714.0
3385.33,3347.5,25733370723,402192002088,2024-02-29,6486400.0
