time,asks,bids,combined_orders
2024-02-01 00:00:00,735678777,746976008,1482654785
2024-02-01 06:00:00,728393475,735443135,1463836611
2024-02-01 12:00:00,712319680,742857716,1455177396
2024-02-01 18:00:00,697663033,755391804,1453054837
2024-02-02 00:00:00,713459736,782298447,1495758183
2024-02-02 06:00:00,744761953,786969824,1531731778
2024-02-02 12:00:00,723577979,757485949,1481063929
2024-02-02 18:00:00,724407831,760887537,1485295368
2024-02-03 00:00:00,714160557,740041003,1454201561
2024-02-03 06:00:00,715966716,738145991,1454112708
2024-02-03 12:00:00,735776455,757958062,1493734517
2024-02-03 18:00:00,719012852,753532035,1472544887
2024-02-04 00:00:00,712335955,736282473,1448618429
2024-02-04 06:00:00,734469297,761301671,1495770968
2024-02-04 12:00:00,735785685,755898257,1491683943
2024-02-04 18:00:00,726602510,765234993,1491837503
2024-02-05 00:00:00,741437327,777449135,1518886462
2024-02-05 06:00:00,737606214,761535748,1499141963
2024-02-05 12:00:00,725525894,755256116,1480782011
2024-02-05 18:00:00,758862820,751004235,1509867055
2024-02-06 00:00:00,708845177,763120279,1471965457
2024-02-06 06:00:00,746920976,762202406,1509123382
2024-02-06 12:00:00,768668185,781934567,1550602753
2024-02-06 18:00:00,757157538,764570013,1521727551
2024-02-07 00:00:00,766679552,758970637,1525650189
2024-02-07 06:00:00,758962234,733331742,1492293977
2024-02-07 12:00:00,747700712,757160133,1504860846
2024-02-07 18:00:00,770285214,787730423,1558015638
2024-02-08 00:00:00,796404974,820204003,1616608977
2024-02-08 06:00:00,749703955,790260656,1539964611
2024-02-08 12:00:00,774052322,798801089,1572853411
2024-02-08 18:00:00,774156110,777655412,1551811523
2024-02-09 00:00:00,781625482,779677068,1561302550
2024-02-09 06:00:00,790815956,815073827,1605889784
2024-02-09 12:00:00,810206551,809688036,1619894587
2024-02-09 18:00:00,810509395,819471119,1629980515
2024-02-10 00:00:00,807094497,831833425,1638927922
2024-02-10 06:00:00,796365859,827302781,1623668640
2024-02-10 12:00:00,840162843,822206235,1662369078
2024-02-10 18:00:00,835042152,826190711,1661232864
2024-02-11 00:00:00,801567903,822174136,1623742039
2024-02-11 06:00:00,800016724,809387883,1609404608
2024-02-11 12:00:00,791645445,828224314,1619869759
2024-02-11 18:00:00,813692661,817499234,1631191896
2024-02-12 00:00:00,810080634,826646811,1636727445
2024-02-12 06:00:00,806351419,806203330,1612554749
2024-02-12 12:00:00,788038422,833356328,1621394750
2024-02-12 18:00:00,849297431,843236572,1692534004
2024-02-13 00:00:00,869565889,877255404,1746821293
2024-02-13 06:00:00,917846560,884021931,1801868492
2024-02-13 12:00:00,841472694,798627639,1640100334
2024-02-13 18:00:00,838184696,810408947,1648593643
2024-02-14 00:00:00,867845985,821869424,1689715410
2024-02-14 06:00:00,847698091,835022416,1682720507
2024-02-14 12:00:00,848808492,813003511,1661812004
2024-02-14 18:00:00,846324947,833539365,1679864312
2024-02-15 00:00:00,838308179,828852349,1667160528
2024-02-15 06:00:00,847233053,859535282,1706768336
2024-02-15 12:00:00,849494707,828129153,1677623861
2024-02-15 18:00:00,875185316,814553930,1689739247
2024-02-16 00:00:00,884610008,868654163,1753264171
2024-02-16 06:00:00,870944419,824825885,1695770305
2024-02-16 12:00:00,836639501,830049596,1666689097
2024-02-16 18:00:00,815662592,828836185,1644498777
2024-02-17 00:00:00,854638009,844491233,1699129242
2024-02-17 06:00:00,845637245,858169349,1703806595
2024-02-17 12:00:00,818697472,841029083,1659726556
2024-02-17 18:00:00,856859708,831393923,1688253632
2024-02-18 00:00:00,836699566,839744968,1676444534
2024-02-18 06:00:00,862850580,858022375,1720872956
2024-02-18 12:00:00,859093291,841473382,1700566674
2024-02-18 18:00:00,869488473,808605741,1678094214
2024-02-19 00:00:00,884798048,831381056,1716179104
2024-02-19 06:00:00,888571275,830826826,1719398102
2024-02-19 12:00:00,916565245,847926631,1764491877
2024-02-19 18:00:00,919694127,823191214,1742885341
2024-02-20 00:00:00,918673093,836212497,1754885591
2024-02-20 06:00:00,866248532,831226625,1697475158
2024-02-20 12:00:00,848461706,811315293,1659777000
2024-02-20 18:00:00,902828398,818113363,1720941762
2024-02-21 00:00:00,886594042,827608825,1714202867
2024-02-21 06:00:00,849374996,819887173,1669262170
2024-02-21 12:00:00,832315617,815055175,1647370792
2024-02-21 18:00:00,865818467,824845142,1690663609
2024-02-22 00:00:00,861670149,818183134,1679853283
2024-02-22 06:00:00,864446854,826306000,1690752854
2024-02-22 12:00:00,864370864,837893598,1702264462
2024-02-22 18:00:00,879022583,854746839,1733769423
2024-02-23 00:00:00,848737907,848172512,1696910420
2024-02-23 06:00:00,824601090,815236680,1639837771
2024-02-23 12:00:00,814897489,804214486,1619111975
2024-02-23 18:00:00,843256290,805684230,1648940521
2024-02-24 00:00:00,841615492,807052758,1648668250
2024-02-24 06:00:00,828973165,781821130,1610794296
2024-02-24 12:00:00,854726814,812966531,1667693346
2024-02-24 18:00:00,867494465,822706818,1690201283
2024-02-25 00:00:00,863467262,793374979,1656842241
