month,blockchain,total_volume
2024-02-01 00:00:00.000 UTC,ethereum,44984683694.56252
2024-02-01 00:00:00.000 UTC,bnb,18443519029.727856
2024-02-01 00:00:00.000 UTC,arbitrum,12172957634.82295
2024-02-01 00:00:00.000 UTC,polygon,5550921110.058169
2024-02-01 00:00:00.000 UTC,avalanche_c,2219929245.9148426
2024-02-01 00:00:00.000 UTC,optimism,1851736626.0225143
2024-02-01 00:00:00.000 UTC,base,1089653885.9363096
2024-02-01 00:00:00.000 UTC,zksync,288778748.29538906
2024-02-01 00:00:00.000 UTC,gnosis,110933387.33467343
2024-02-01 00:00:00.000 UTC,celo,76047741.01016109
2024-02-01 00:00:00.000 UTC,fantom,75199251.23402902
