month,project,total_volume
2024-02-01 00:00:00.000 UTC,uniswap,49539819243.24197
2024-02-01 00:00:00.000 UTC,pancakeswap,15328904751.505873
2024-02-01 00:00:00.000 UTC,curve,4618725957.898376
2024-02-01 00:00:00.000 UTC,trader_joe,3099909786.0932684
2024-02-01 00:00:00.000 UTC,quickswap,2411683965.037037
2024-02-01 00:00:00.000 UTC,balancer,2409362144.7322726
2024-02-01 00:00:00.000 UTC,camelot,2043752872.2671852
2024-02-01 00:00:00.000 UTC,thena,1763244786.260237
2024-02-01 00:00:00.000 UTC,dodo,1597854253.7579737
2024-02-01 00:00:00.000 UTC,ramses,940386867.9951348
2024-02-01 00:00:00.000 UTC,sushiswap,812938893.5626853
2024-02-01 00:00:00.000 UTC,syncswap,796296742.7725649
2024-02-01 00:00:00.000 UTC,0x API,793020180.7959052
2024-02-01 00:00:00.000 UTC,1inch LOP,641347169.9526106
2024-02-01 00:00:00.000 UTC,maverick,584638558.572761
2024-02-01 00:00:00.000 UTC,woofi,378652833.47533
2024-02-01 00:00:00.000 UTC,sharkswap,320439495.2682928
2024-02-01 00:00:00.000 UTC,baseswap,257890165.91901347
2024-02-01 00:00:00.000 UTC,mute,233664451.1478556
2024-02-01 00:00:00.000 UTC,aerodrome,223550466.12736583
2024-02-01 00:00:00.000 UTC,integral,180049448.56595093
2024-02-01 00:00:00.000 UTC,velodrome,158188419.0080015
2024-02-01 00:00:00.000 UTC,biswap,107758023.60486051
2024-02-01 00:00:00.000 UTC,fraxswap,82005784.34620295
2024-02-01 00:00:00.000 UTC,wombat,71888136.16946393
2024-02-01 00:00:00.000 UTC,pharaoh,68901164.6807923
2024-02-01 00:00:00.000 UTC,apeswap,55466837.5950383
2024-02-01 00:00:00.000 UTC,solidly,54979706.98067022
2024-02-01 00:00:00.000 UTC,spookyswap,40466690.98954497
2024-02-01 00:00:00.000 UTC,swaap,39371503.49363902
2024-02-01 00:00:00.000 UTC,bancor,37714795.802147046
2024-02-01 00:00:00.000 UTC,shibaswap,36673910.74893899
2024-02-01 00:00:00.000 UTC,openocean,36285204.83605625
2024-02-01 00:00:00.000 UTC,wombat_exchange,35444958.52918686
