timestamp,asks,bids,combined_orders
1701496800000,794138623,844962406,1639101030
1701518400000,808713014,854105704,1662818718
1701540000000,756374921,823243229,1579618150
1701561600000,745817921,835185166,1581003088
1701583200000,747335450,839529550,1586865001
1701604800000,737811039,851131828,1588942867
1701626400000,740054644,827896332,1567950977
1701648000000,742164285,836469815,1578634101
1701669600000,737352528,823878219,1561230748
1701691200000,750160939,821665176,1571826116
1701712800000,754558695,792995658,1547554354
1701734400000,763014045,798219144,1561233189
1701756000000,728364294,795718997,1524083292
1701777600000,698894036,744046556,1442940593
1701799200000,686126107,718193761,1404319869
1701820800000,707945314,727579818,1435525132
1701842400000,684779607,724391003,1409170611
1701864000000,691163393,756940174,1448103567
1701885600000,721151326,768959301,1490110627
1701907200000,739714115,790113711,1529827827
1701928800000,753417946,780968801,1534386748
1701950400000,870219363,818620426,1688839790
1701972000000,751067687,819263277,1570330964
1701993600000,777823702,795883135,1573706838
1702015200000,767509720,809222768,1576732488
1702036800000,749856652,812143702,1562000355
1702058400000,751463135,815937930,1567401066
1702080000000,753194730,818890515,1572085246
1702101600000,757627220,810047418,1567674639
1702123200000,760493673,834696837,1595190511
1702144800000,740359780,816881073,1557240854
1702166400000,764881627,828791285,1593672913
1702188000000,756349023,822151655,1578500679
1702209600000,765904123,840455336,1606359459
1702231200000,768438497,833839242,1602277739
1702252800000,706202893,788395539,1494598432
1702274400000,688200826,768381333,1456582160
1702296000000,693862387,763854734,1457717121
1702317600000,679368684,753589438,1432958123
1702339200000,705230380,774544633,1479775014
1702360800000,712929827,802749547,1515679375
1702382400000,689232423,788842904,1478075328
1702404000000,702150783,803028536,1505179319
1702425600000,718294205,826267770,1544561975
1702447200000,707975351,842219280,1550194631
1702468800000,720875281,855605222,1576480504
1702490400000,720830714,843730330,1564561044
1702512000000,750548897,837730625,1588279523
1702533600000,785901933,829402527,1615304460
1702555200000,826612177,868608531,1695220709
1702576800000,855413167,909829573,1765242740
1702598400000,873839031,909068513,1782907544
1702620000000,875556684,917758077,1793314762
1702641600000,897642476,889713612,1787356089
1702663200000,905722304,906430610,1812152914
1702684800000,908230450,904094493,1812324943
1702706400000,922963089,894120520,1817083610
1702728000000,1047233269,899062460,1946295729
1702749600000,1000140967,908038612,1908179579
1702771200000,1222294964,901328049,2123623013
1702792800000,1105969453,903792491,2009761945
1702814400000,887474518,887957238,1775431756
1702836000000,876990598,904851070,1781841668
1702857600000,839648535,906305373,1745953909
1702879200000,830257002,903663447,1733920449
1702900800000,831301182,895243227,1726544410
1702922400000,850781169,897590841,1748372011
1702944000000,871131381,903219258,1774350639
1702965600000,893700681,902225010,1795925691
1702987200000,855582827,896299831,1751882659
