url_name,vol_30_day_usd,name
binance,487794014912,Binance
coinbase,74541611203,Coinbase
bitforex,38463182660,Bitforex
kraken,29315050217,Kraken
okx,69119716372,Okx
kucoin,33665726231,Kucoin
gateio,41307507628,Gateio
htx,42720043128,Htx
bitfinex,8866348682,Bitfinex
bitstamp,6958962268,Bitstamp
p2b,44661199917,P2B
digifinex,38591949406,Digifinex
bitmart,33246500208,Bitmart
whitebit,29857610808,Whitebit
bitget,38390720218,Bitget
bitrue,74762307458,Bitrue
lbank,38241116576,Lbank
deepcoin,27273984530,Deepcoin
toobit,23760116734,Toobit
xt,21813729032,Xt
