url_name,vol_30_day_usd,name
uniswap-v3,23994310761,Uniswap V3
uniswap-v2,3857753558,Uniswap V2
curve-finance,3067417086,Curve Finance
pancakeswap-v3-bsc,4197468584,Pancakeswap V3 Bsc
pancakeswap-v2,1654578397,Pancakeswap V2
uniswap-arbitrum,5268595720,Uniswap Arbitrum
uniswap-polygon-network,2132659091,Uniswap Polygon Network
uniswap-optimism,769572056,Uniswap Optimism
pancakeswap-v3-ethereum,685435169,Pancakeswap V3 Ethereum
trader-joe,124999331,Trader Joe
trader-joe-v2-arbitrum,1190089,Trader Joe V2 Arbitrum
camelot-v3,1574264185,Camelot V3
camelot,27920696,Camelot
balancer-v2,1233475461,Balancer V2
balancer,52767166,Balancer
