open,close,volume,market_cap,date,fee
2052.48,2087.48,8935403281,250994533390,2023-12-01,4616127.0
2087.98,2166.37,7446730323,260474412189,2023-12-02,3487429.0
2166.6,2193.76,6615188415,263764737126,2023-12-03,3924770.0
2193.68,2243.77,13251232011,269774788766,2023-12-04,4870176.0
2243.62,2295.63,13194098844,276004593923,2023-12-05,5606668.0
2294.14,2234.12,11517076198,268600718708,2023-12-06,5915868.0
2235.3,2357.87,13925928426,283470462978,2023-12-07,5154847.0
2358.59,2360.11,11319002512,283732150270,2023-12-08,4317713.0
2359.62,2344.86,9578358723,281893550662,2023-12-09,3683696.0
2345.65,2356.75,6739031843,283319988783,2023-12-10,3644283.0
2357.29,2226.29,16440204161,267635259181,2023-12-11,4125865.0
2226.97,2205.42,10133433427,265121797267,2023-12-12,5032495.0
2204.38,2263.15,11597727522,272057306631,2023-12-13,5300172.0
2263.08,2318.15,11551533262,278662748487,2023-12-14,4698164.0
2317.66,2221.5,9383331358,267039086178,2023-12-15,5791108.0
2222.2,2230.51,6392108918,268113603500,2023-12-16,5718228.0
2231.06,2201.62,6906992885,264633708792,2023-12-17,4282781.0
2200.39,2218.87,10003370976,266702970203,2023-12-18,6170702.0
2219.04,2180.24,10486986811,262051385331,2023-12-19,5544197.0
2179.78,2203.67,12217869917,261166930165,2023-12-20,5169580.0
2204.41,2242.47,12461782538,269515522646,2023-12-21,3876251.0
2242.71,2329.15,15908442530,279928687221,2023-12-22,3371720.0
2328.76,2314.35,7746381764,278147474404,2023-12-23,2478898.0
2315.17,2271.61,9000438686,273010213661,2023-12-24,2426614.0
2271.37,2275.5,7758797145,273478094026,2023-12-25,2534572.0
2275.43,2234.38,10179290996,268535979162,2023-12-26,2145039.0
2233.73,2379.93,14201196406,286030488487,2023-12-27,2969572.0
2380.97,2349.47,14687828256,282367625716,2023-12-28,3091911.0
2349.36,2302.78,12152169608,276755063738,2023-12-29,2709135.0
2302.55,2296.73,6546225268,276027108717,2023-12-30,2253035.0
2295.49,2285.02,6436458681,274621263367,2023-12-31,1764625.0
