time,asks,bids,combined_orders
2023-12-01 00:00:00,802956173,870186793,1673142967
2023-12-01 06:00:00,786361540,858290008,1644651549
2023-12-01 12:00:00,763232597,841151762,1604384359
2023-12-01 18:00:00,750846416,826172779,1577019195
2023-12-02 00:00:00,760606977,837215294,1597822272
2023-12-02 06:00:00,794138623,844962406,1639101030
2023-12-02 12:00:00,808713014,854105704,1662818718
2023-12-02 18:00:00,756374921,823243229,1579618150
2023-12-03 00:00:00,745817921,835185166,1581003088
2023-12-03 06:00:00,747335450,839529550,1586865001
2023-12-03 12:00:00,737811039,851131828,1588942867
2023-12-03 18:00:00,740054644,827896332,1567950977
2023-12-04 00:00:00,742164285,836469815,1578634101
2023-12-04 06:00:00,737352528,823878219,1561230748
2023-12-04 12:00:00,750160939,821665176,1571826116
2023-12-04 18:00:00,754558695,792995658,1547554354
2023-12-05 00:00:00,763014045,798219144,1561233189
2023-12-05 06:00:00,728364294,795718997,1524083292
2023-12-05 12:00:00,698894036,744046556,1442940593
2023-12-05 18:00:00,686126107,718193761,1404319869
2023-12-06 00:00:00,707945314,727579818,1435525132
2023-12-06 06:00:00,684779607,724391003,1409170611
2023-12-06 12:00:00,691163393,756940174,1448103567
2023-12-06 18:00:00,721151326,768959301,1490110627
2023-12-07 00:00:00,739714115,790113711,1529827827
2023-12-07 06:00:00,753417946,780968801,1534386748
2023-12-07 12:00:00,870219363,818620426,1688839790
2023-12-07 18:00:00,751067687,819263277,1570330964
2023-12-08 00:00:00,777823702,795883135,1573706838
2023-12-08 06:00:00,767509720,809222768,1576732488
2023-12-08 12:00:00,749856652,812143702,1562000355
2023-12-08 18:00:00,751463135,815937930,1567401066
2023-12-09 00:00:00,753194730,818890515,1572085246
2023-12-09 06:00:00,757627220,810047418,1567674639
2023-12-09 12:00:00,760493673,834696837,1595190511
2023-12-09 18:00:00,740359780,816881073,1557240854
2023-12-10 00:00:00,764881627,828791285,1593672913
2023-12-10 06:00:00,756349023,822151655,1578500679
2023-12-10 12:00:00,765904123,840455336,1606359459
2023-12-10 18:00:00,768438497,833839242,1602277739
2023-12-11 00:00:00,706202893,788395539,1494598432
2023-12-11 06:00:00,688200826,768381333,1456582160
2023-12-11 12:00:00,693862387,763854734,1457717121
2023-12-11 18:00:00,679368684,753589438,1432958123
2023-12-12 00:00:00,705230380,774544633,1479775014
2023-12-12 06:00:00,712929827,802749547,1515679375
2023-12-12 12:00:00,689232423,788842904,1478075328
2023-12-12 18:00:00,702150783,803028536,1505179319
2023-12-13 00:00:00,718294205,826267770,1544561975
2023-12-13 06:00:00,707975351,842219280,1550194631
2023-12-13 12:00:00,720875281,855605222,1576480504
2023-12-13 18:00:00,720830714,843730330,1564561044
2023-12-14 00:00:00,750548897,837730625,1588279523
2023-12-14 06:00:00,785901933,829402527,1615304460
2023-12-14 12:00:00,826612177,868608531,1695220709
2023-12-14 18:00:00,855413167,909829573,1765242740
2023-12-15 00:00:00,873839031,909068513,1782907544
2023-12-15 06:00:00,875556684,917758077,1793314762
2023-12-15 12:00:00,897642476,889713612,1787356089
2023-12-15 18:00:00,905722304,906430610,1812152914
2023-12-16 00:00:00,908230450,904094493,1812324943
2023-12-16 06:00:00,922963089,894120520,1817083610
